,address,baths,beds,id,lat,lng,photoUrl,photoUrlForHdDpiDisplay,price,satellitePhotoUrl,shortPrice,sqft,streetViewPhotoUrl,url
0,372 Central Park W #5BC,3ba,3bd,5047458233,40.792442,-73.96432,/pictures/thumbs_3/zillowstatic/ISugwwx8zwuqir1000000000.jpg,/pictures/thumbs_4/zillowstatic/ISugwwx8zwuqir1000000000.jpg,"$3,695,000",,$3.7m,"2,096 sqft",,/p/ny/new-york/372-central-park-w-5bc-new-york-ny-10025--2360416900
1,613 E 11th St #A3,2ba,3bd,3198217186,40.72731,-73.9785,/pictures/thumbs_3/zillowstatic/ISintxtvxpxuqs1000000000.jpg,/pictures/thumbs_4/zillowstatic/ISintxtvxpxuqs1000000000.jpg,"$1,985,000",,$1.99m,"1,261 sqft",,/p/ny/new-york/613-e-11th-st-a3-new-york-ny-10009--2088817057
2,264 Broadway #C201/02/07,4ba,4bd,5038649067,40.714645,-73.98544,/pictures/thumbs_3/zillowstatic/ISy3pho7h5yky00000000000.jpg,/pictures/thumbs_4/zillowstatic/ISy3pho7h5yky00000000000.jpg,"$2,395,000",,$2.4m,,,/p/ny/new-york/264-broadway-c201-02-07-new-york-ny-10002--2349488364
3,331 Convent Ave,5ba,8bd,5047448518,40.82358,-73.946655,/pictures/thumbs_3/zillowstatic/ISynsl1a7q0qa80000000000.jpg,/pictures/thumbs_4/zillowstatic/ISynsl1a7q0qa80000000000.jpg,"$2,900,000",,$2.9m,"4,915 sqft",,/p/ny/new-york/331-convent-ave-new-york-ny-10031--38983
4,1809 Adam Clayton Powell Jr Blvd #15,1ba,3bd,5047431616,40.79967,-73.9546,/pictures/thumbs_3/zillowstatic/IS62xcro35zh7j1000000000.jpg,/pictures/thumbs_4/zillowstatic/IS62xcro35zh7j1000000000.jpg,"$1,399,000",,$1.4m,,,/p/ny/new-york/1809-adam-clayton-powell-jr-blvd-15-new-york-ny-10026--2189849075
5,401 E 60th St #37C,3ba,3bd,3067368199,40.760376,-73.96068,/pictures/thumbs_3/zillowstatic/ISuwkyzfc8wyt80000000000.jpg,/pictures/thumbs_4/zillowstatic/ISuwkyzfc8wyt80000000000.jpg,"$2,695,000",,$2.7m,"1,956 sqft",,/p/ny/new-york/401-e-60th-st-37c-new-york-ny-10022--2088861209
6,140 Riverside Dr #19H,2ba,3bd,5047443578,40.79016,-73.97974,/pictures/thumbs_3/zillowstatic/ISaph39afu70da1000000000.jpg,/pictures/thumbs_4/zillowstatic/ISaph39afu70da1000000000.jpg,"$7,250,000",,$7.25m,,,/p/ny/new-york/140-riverside-dr-19h-new-york-ny-10024--2192100827
7,100 Barclay St #15B,4ba,3bd,5031982601,40.713894,-74.01257,/pictures/thumbs_3/zillowstatic/ISy7wd51l89jxe0000000000.jpg,/pictures/thumbs_4/zillowstatic/ISy7wd51l89jxe0000000000.jpg,"$5,275,000",,$5.28m,"2,446 sqft",,/p/ny/new-york/100-barclay-st-15b-new-york-ny-10007--2339689762
8,2 River Ter #24AB,4ba,4bd,5047435164,40.764877,-73.94704,/pictures/thumbs_3/zillowstatic/ISyj5hnsueldte0000000000.jpg,/pictures/thumbs_4/zillowstatic/ISyj5hnsueldte0000000000.jpg,"$6,395,000",,$6.4m,"3,026 sqft",,/p/ny/new-york/2-river-ter-24ab-new-york-ny-10282--2325197524
9,535 W 110th St #5-F,5ba,4bd,3115865990,40.80398,-73.965546,/pictures/thumbs_3/zillowstatic/ISa1bi5gx2bmdk0000000000.jpg,/pictures/thumbs_4/zillowstatic/ISa1bi5gx2bmdk0000000000.jpg,"$2,695,000",,$2.7m,"2,750 sqft",,/p/ny/new-york/535-w-110th-st-5-f-new-york-ny-10025--2181300759
10,5 Franklin Pl #17B,4ba,4bd,3219286751,40.717842,-74.003685,/pictures/thumbs_3/zillowstatic/ISewdss7f9t3il1000000000.jpg,/pictures/thumbs_4/zillowstatic/ISewdss7f9t3il1000000000.jpg,"$5,950,000",,$5.95m,"2,557 sqft",,/p/ny/new-york/5-franklin-pl-17b-new-york-ny-10013--2008608939
